ND8
-0.003
-0.057
-0.105
+0.088
-0.003
-0.139
+0.128
-0.099
+0.054
-0.212
+0.519
-0.553
-0.317
+0.532
-0.517
-0.311
+0.128
-0.099
+0.054
-0.212
+0.519
-0.553
-0.317
+0.532
-0.517
-0.311
+0.067
+0.067
-0.003
-0.057
-0.105
+0.088
-0.003
-0.139
+0.042
-0.003
-0.003
+0.042
-0.003
-0.003
